#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T14:59+0000 #
#####################################################################
#
# seed = 1.0, globalRound = 11
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] 
234.00488558979578 -0.278 -0.00 -0.201 0.00379 0.0 1.0 0.19000000000000003 0.07969696969696971
235.00488558979578 -0.278 -0.00 -0.201 0.00379 0.0 1.0 0.19000000000000003 0.07969696969696971
236.00488558979578 -0.278 -0.00 -0.201 0.00379 0.0 1.0 0.19000000000000003 0.07969696969696971
237.00488558979578 -0.278 -0.00 -0.201 0.00379 0.0 1.0 0.19000000000000003 0.07969696969696971
238.00488558979578 -0.278 -0.00 -0.199 0.00509 0.0 0.0 0.0 0.0
239.00488558979578 -0.278 -0.00 -0.199 0.00509 0.0 0.0 0.0 0.0
240.00488558979578 -0.278 -0.00 -0.199 0.00509 0.0 0.0 0.0 0.0
241.00488558979578 -0.278 -0.00 -0.199 0.00509 0.0 0.0 0.0 0.0
242.00488558979578 -0.278 -0.00 -0.199 0.00509 0.0 0.0 0.0 0.0
243.00488558979578 -0.278 -0.222 -0.255 0.000188 0.0 1.0 0.13999999999999999 0.06606060606060593
244.00488558979578 -0.278 -0.222 -0.255 0.000188 0.0 1.0 0.13999999999999999 0.06606060606060593
245.00488558979578 -0.278 -0.222 -0.255 0.000188 0.0 1.0 0.13999999999999999 0.06606060606060593
246.00488558979578 -0.278 -0.222 -0.255 0.000188 0.0 1.0 0.13999999999999999 0.06606060606060593
247.00488558979578 -0.278 -0.222 -0.255 0.000188 0.0 1.0 0.13999999999999999 0.06606060606060593
248.00488558979578 -0.278 -0.00 -0.213 0.00437 0.0 1.0 0.17 0.07181818181818189
249.00488558979578 -0.278 -0.00 -0.213 0.00437 0.0 1.0 0.17 0.07181818181818189
250.00488558979578 -0.278 -0.00 -0.213 0.00437 0.0 1.0 0.17 0.07181818181818189
251.00488558979578 -0.278 -0.00 -0.213 0.00437 0.0 1.0 0.17 0.07181818181818189
252.00488558979578 -0.278 -0.00 -0.213 0.00437 0.0 1.0 0.17 0.07181818181818189
253.00488558979578 -0.278 -0.00 -0.207 0.00479 0.0 0.5 0.125 0.04734848484848485
254.00488558979578 -0.278 -0.00 -0.207 0.00479 0.0 0.5 0.125 0.04734848484848485
255.00488558979578 -0.278 -0.00 -0.207 0.00479 0.0 0.5 0.125 0.04734848484848485
256.0048855897958 -0.278 -0.00 -0.207 0.00479 0.0 0.5 0.125 0.04734848484848485
257.0048855897958 -0.278 -0.00 -0.207 0.00479 0.0 0.5 0.125 0.04734848484848485
258.0048855897958 -0.278 -0.111 -0.215 0.00347 0.0 0.0 0.0 0.0
259.0048855897958 -0.278 -0.111 -0.215 0.00347 0.0 0.0 0.0 0.0
260.0048855897958 -0.278 -0.111 -0.215 0.00347 0.0 0.0 0.0 0.0
261.0048855897958 -0.278 -0.111 -0.215 0.00347 0.0 0.0 0.0 0.0
262.0048855897958 -0.278 -0.111 -0.215 0.00347 0.0 0.0 0.0 0.0
263.0048855897958 -0.278 -0.222 -0.255 0.000188 0.0 0.0 0.0 0.0
264.0048855897958 -0.278 -0.222 -0.255 0.000188 0.0 0.0 0.0 0.0
265.0048855897958 -0.278 -0.222 -0.255 0.000188 0.0 0.0 0.0 0.0
266.0048855897958 -0.278 -0.222 -0.255 0.000188 0.0 0.0 0.0 0.0
267.0048855897958 -0.278 -0.222 -0.255 0.000188 0.0 0.0 0.0 0.0
268.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
269.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
270.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
271.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
272.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
273.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
274.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
275.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
276.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
277.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
278.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
279.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
280.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
281.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
282.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
283.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17 0.06676767676767684
284.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17 0.06676767676767684
285.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17 0.06676767676767684
286.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17 0.06676767676767684
287.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.17 0.06676767676767684
288.0048855897958 -0.278 -0.00 -0.202 0.00423 0.0 0.0 0.0 0.0
289.0048855897958 -0.278 -0.00 -0.202 0.00423 0.0 0.0 0.0 0.0
290.0048855897958 -0.278 -0.00 -0.202 0.00423 0.0 0.0 0.0 0.0
291.0048855897958 -0.278 -0.00 -0.202 0.00423 0.0 0.0 0.0 0.0
292.0048855897958 -0.278 -0.00 -0.202 0.00423 0.0 0.0 0.0 0.0
293.0048855897958 -0.278 -0.222 -0.254 0.000183 0.0 0.0 0.0 0.0
294.0048855897958 -0.278 -0.222 -0.254 0.000183 0.0 0.0 0.0 0.0
295.0048855897958 -0.278 -0.222 -0.254 0.000183 0.0 0.0 0.0 0.0
296.0048855897958 -0.278 -0.222 -0.254 0.000183 0.0 0.0 0.0 0.0
297.0048855897958 -0.278 -0.222 -0.254 0.000183 0.0 0.0 0.0 0.0
298.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
299.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
300.0048855897958 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
#####################################################################
# End of data export. Simulation finished at: 2024-10-25T14:59+0000 #
#####################################################################
